# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	24	695	+						5055345	PARS_RS00005	672		old_locus_tag=Pars_0001
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	24	695	+	WP_011899526.1	WP_011899526.1		30S ribosomal protein S7		5055345	PARS_RS00005	672	223	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	725	1714	+						5055043	PARS_RS00010	990		old_locus_tag=Pars_0002
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	725	1714	+	WP_011899527.1	WP_011899527.1		replication factor C small subunit		5055043	PARS_RS00010	990	329	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	1715	2983	+						5054940	PARS_RS00015	1269		old_locus_tag=Pars_0003
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	1715	2983	+	WP_011899528.1	WP_011899528.1		replication factor C large subunit		5054940	PARS_RS00015	1269	422	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	3084	3296	+						5054944	PARS_RS00020	213		old_locus_tag=Pars_0004
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	3084	3296	+	WP_241428756.1	WP_241428756.1		DUF3195 domain-containing protein		5054944	PARS_RS00020	213	70	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	3361	4530	+						5055248	PARS_RS00025	1170		old_locus_tag=Pars_0005
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	3361	4530	+	WP_011899530.1	WP_011899530.1		ORC1-type DNA replication protein		5055248	PARS_RS00025	1170	389	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	4527	4823	+						5055515	PARS_RS00030	297		old_locus_tag=Pars_0006
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	4527	4823	+	WP_011899531.1	WP_011899531.1		winged helix-turn-helix domain-containing protein		5055515	PARS_RS00030	297	98	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	4874	5527	+						5056037	PARS_RS00035	654		old_locus_tag=Pars_0007
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	4874	5527	+	WP_011899532.1	WP_011899532.1		restriction endonuclease		5056037	PARS_RS00035	654	217	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	5496	6596	+						5054500	PARS_RS00040	1101		old_locus_tag=Pars_0008
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	5496	6596	+	WP_128622093.1	WP_128622093.1		S-methyl-5-thioribose-1-phosphate isomerase		5054500	PARS_RS00040	1101	366	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	6698	7015	+						5055365	PARS_RS00045	318		old_locus_tag=Pars_0009
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	6698	7015	+	WP_011899534.1	WP_011899534.1		hypothetical protein		5055365	PARS_RS00045	318	105	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	7015	8148	+						5055890	PARS_RS00050	1134		old_locus_tag=Pars_0010
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	7015	8148	+	WP_011899535.1	WP_011899535.1		RsmB/NOP family class I SAM-dependent RNA methyltransferase		5055890	PARS_RS00050	1134	377	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	8132	8359	-						71067905	PARS_RS12635	228		
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	8132	8359	-	WP_128622094.1	WP_128622094.1		hypothetical protein		71067905	PARS_RS12635	228	75	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	8407	9048	+						5055590	PARS_RS00060	642		old_locus_tag=Pars_0011
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	8407	9048	+	WP_011899536.1	WP_011899536.1		TIGR00296 family protein		5055590	PARS_RS00060	642	213	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	9049	9510	-						5055548	PARS_RS00065	462		old_locus_tag=Pars_0012
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	9049	9510	-	WP_011899537.1	WP_011899537.1		hypothetical protein		5055548	PARS_RS00065	462	153	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	9589	9774	-						5055694	PARS_RS00070	186		old_locus_tag=Pars_0013
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	9589	9774	-	WP_011899538.1	WP_011899538.1		hypothetical protein		5055694	PARS_RS00070	186	61	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	9814	11097	-						5055744	PARS_RS00075	1284		old_locus_tag=Pars_0014
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	9814	11097	-	WP_011899539.1	WP_011899539.1		nodulation protein NfeD		5055744	PARS_RS00075	1284	427	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	11097	11885	-						5055565	PARS_RS00080	789		old_locus_tag=Pars_0015
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	11097	11885	-	WP_011899540.1	WP_011899540.1		SPFH domain-containing protein		5055565	PARS_RS00080	789	262	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	12100	12417	+						5054748	PARS_RS00085	318		old_locus_tag=Pars_0016
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	12100	12417	+	WP_011899541.1	WP_011899541.1		hypothetical protein		5054748	PARS_RS00085	318	105	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	12414	13442	+						5055265	PARS_RS00090	1029		old_locus_tag=Pars_0017
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	12414	13442	+	WP_011899542.1	WP_011899542.1		V-type ATPase subunit		5055265	PARS_RS00090	1029	342	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	13444	13710	-						5055268	PARS_RS00095	267		old_locus_tag=Pars_0018
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	13444	13710	-	WP_011899543.1	WP_011899543.1		H+-transporting two-sector ATPase subunit C		5055268	PARS_RS00095	267	88	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	13717	13881	-						44139550	PARS_RS12265	165		old_locus_tag=Pars_0019
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	13717	13881	-	WP_011899544.1	WP_011899544.1		hypothetical protein		44139550	PARS_RS12265	165	54	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	13905	14504	-						5054651	PARS_RS00100	600		old_locus_tag=Pars_0020
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	13905	14504	-	WP_011899545.1	WP_011899545.1		V-type ATP synthase subunit D		5054651	PARS_RS00100	600	199	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	14542	15327	+						5055402	PARS_RS00105	786		old_locus_tag=Pars_0021
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	14542	15327	+	WP_011899546.1	WP_011899546.1		50S ribosome-binding GTPase		5055402	PARS_RS00105	786	261	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	15350	15823	+						5055381	PARS_RS00110	474		old_locus_tag=Pars_0022
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	15350	15823	+	WP_011899547.1	WP_011899547.1		hypothetical protein		5055381	PARS_RS00110	474	157	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	15925	16482	-						5055359	PARS_RS00115	558		old_locus_tag=Pars_0023
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	15925	16482	-	WP_011899548.1	WP_011899548.1		NERD domain-containing protein		5055359	PARS_RS00115	558	185	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	16600	18003	+						5055149	PARS_RS00120	1404		old_locus_tag=Pars_0024
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	16600	18003	+	WP_011899549.1	WP_011899549.1		FAD-dependent oxidoreductase		5055149	PARS_RS00120	1404	467	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	17988	19274	-						5054602	PARS_RS00125	1287		old_locus_tag=Pars_0025
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	17988	19274	-	WP_011899550.1	WP_011899550.1		phosphomannomutase/phosphoglucomutase		5054602	PARS_RS00125	1287	428	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	19392	20507	+						5055222	PARS_RS00130	1116		old_locus_tag=Pars_0026
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	19392	20507	+	WP_011899551.1	WP_011899551.1		DUF763 domain-containing protein		5055222	PARS_RS00130	1116	371	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	20504	21103	-						5054774	PARS_RS00135	600		old_locus_tag=Pars_0027
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	20504	21103	-	WP_011899552.1	WP_011899552.1		orotidine 5'-phosphate decarboxylase		5054774	PARS_RS00135	600	199	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	21321	22238	+					pyrB	5055068	PARS_RS00140	918		old_locus_tag=Pars_0028
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	21321	22238	+	WP_011899553.1	WP_011899553.1		aspartate carbamoyltransferase	pyrB	5055068	PARS_RS00140	918	305	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	22235	22765	+					rimI	5055129	PARS_RS00145	531		old_locus_tag=Pars_0029
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	22235	22765	+	WP_011899554.1	WP_011899554.1		ribosomal protein S18-alanine N-acetyltransferase	rimI	5055129	PARS_RS00145	531	176	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	22809	24329	+						5054620	PARS_RS00150	1521		old_locus_tag=Pars_0030
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	22809	24329	+	WP_011899555.1	WP_011899555.1		hypothetical protein		5054620	PARS_RS00150	1521	506	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	24477	25961	+						5054730	PARS_RS00155	1485		old_locus_tag=Pars_0031
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	24477	25961	+	WP_011899556.1	WP_011899556.1		type II/IV secretion system ATPase subunit		5054730	PARS_RS00155	1485	494	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	26341	26853	+						5054736	PARS_RS00165	513		old_locus_tag=Pars_0032
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	26341	26853	+	WP_011899557.1	WP_011899557.1		hypothetical protein		5054736	PARS_RS00165	513	170	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	26880	28367	+					tgtA	5054381	PARS_RS00170	1488		old_locus_tag=Pars_0033
